domain,url,title,title_len,description,desc_len,og_title,og_description,og_image,og_url,twitter_card,canonical,viewport,robots_txt,sitemap_xml,h1_count,img_no_alt,score,error
jikehou.cn,https://jikehou.cn,极客猴 - 不日进则日退,12,"我是猴哥, 一名技术极客, AI 出海创业者。践行『一人公司, 复利商业化, 资产化』。写作是记录自己的思考和成长。",58,True,True,True,True,True,True,True,True,True,1,0,100,
sizau.com,https://www.sizau.com,时舟 - 时光如流，岁月行舟,14,凉风有信，秋月无边，风捎来了讯息，也将你带到了这里。欢迎来到时舟的记忆仓库，这里记录了我的一些个人随想、技术研究、以及一些可能值得纪念的，特别的时刻。,75,True,True,True,True,True,True,True,True,True,3,3,100,
chenhe.me,https://chenhe.me,Chenhe's Blog - Believe in openness,35,"Hi, this is Chenhe's personal blog. A cross-generational ISFP that caught the last bus of the 90s.",98,True,True,True,True,True,True,True,True,True,1,0,100,
royc30ne.com,https://www.royc30ne.com,若绾 | We Move Together As One,28,欢迎来到我的个人博客 若绾 ！我是Royc30ne，一个热爱计算机科学、摄影、电子音乐和信用卡的学生。这个博客是我用来分享我的学习笔记、个人见解和兴趣爱好的地方。,81,True,True,True,True,True,True,True,True,True,0,0,100,
wyjmew.cn,https://wyjmew.cn,王一君Mew | 漫游次元 以代码记录生活,21,藏在次元中的数码小屋，分享网站部署搭建、各类数码折腾教程，精选实用电脑、手机软件，闲暇记录动漫感悟与日常随笔,54,True,True,True,True,True,True,True,True,True,0,4,100,
ecylt.top,https://www.ecylt.top/,二次元论坛 - 按下F逃离世界！,16,二次元论坛（E站）是一个以动漫、游戏、音乐、文学等为主题的多元内容平台，提供各种原创和转载的视频、图片、文字等内容。您可以在二次元论坛找到你喜欢的弹幕视频、文章、图片和插画等作品，也可以成为创作者，分享你关于acg(n)的创意和欢乐! 加入我们，一同探索这个充满创意和想象力的acg世界！,144,True,True,True,True,True,True,True,True,True,0,62,100,
yourlai.com,https://yourlai.com,主页-Yourlai's Blog - (>^ω^<),27,这个世界哪有那么多为什么，就像冷气团与暖气团相遇会形成降水一样 (⁎˃ᆺ˂)~在这里你能找到博主写的教程、拍的照片和一些碎碎念。点进来看看吧。,71,True,True,True,True,True,True,True,True,True,3,18,100,
blog.kclub.tech,https://blog.kclub.tech/,迷失的小K - Just for fun,20,当你探索编程的奥秘，追逐极客的乐趣，以及在大学生活中不断成长的过程中，欢迎来到我的个人博客。这里将分享丰富的编程经验、技术实践，以及我在极客折腾中的点滴收获。同时，你还将窥探到我在大学校园里的点滴日常，探讨学业、生活、成长的方方面面。与我一同畅游代码的海洋，感受极客世界的无限可能，以及大学生活的丰富,150,True,True,True,True,True,True,True,True,True,1,0,100,
soulchild.cn,https://soulchild.cn,SoulChild随笔记,12,小牛之路，一个记录运维开发、自动化运维、DevOps、Kubernetes、Docker、编程等技术笔记的博客，与您分享实用技巧和心得,67,True,True,True,True,True,True,True,True,True,10,0,100,
ie12blog.36102025.xyz,https://ie12blog.36102025.xyz/,ie12的博客 - 分享网络技术 | ie12sBlog,28,欢迎来到 ie12 的个人博客，这里分享网络技术教程以及折腾记录。系列教程：比特彗星常见问题解答、比特彗星端口阻塞解决方案、Lucky STUN 反向代理与内网穿透、虚拟专用网络系列、IPv6过渡方案系列。其他非系列性教程请看实验记录系列。,120,True,True,True,True,True,True,True,True,True,1,0,100,
